scenario,model,crop,mae,rmse,mape,n
lag_only,xgboost,Кукурудза,0.7626976394653324,0.86787083271153,11.915881088351577,3.0
lag_only,lightgbm,Пшениця,0.3531130578535224,0.3914005364163472,7.506099987618183,3.0
lag_only,elasticnet,Соняшник,0.08162400460493228,0.08773613996603498,3.167383449237413,3.0
