factor,pearson_yield,pearson_yield_p,spearman_yield,spearman_yield_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p
Area_ha_lag1,-0.10784337147022453,0.7824214220523389,-0.19999999999999998,0.6059012741795533,-0.15235784477357983,0.6955606404201783,-0.13333333333333333,0.7323675052362975
Irrig_mm_lag1,0.0638591309828513,0.870348533033269,-0.049999999999999996,0.8983528043506301,-0.02402270423911998,0.951084877692836,-0.016666666666666666,0.9660548039946861
K_kg_ha_lag1,0.2632085841261406,0.4937951100701396,0.1338923854009157,0.731278765094574,0.19779418209394353,0.6099636013297178,0.15899720766358738,0.6828398157150526
Mineral_treated_share_lag1,0.11625604382701112,0.7658163801473957,0.0,1.0,0.11014354037583021,0.7778734890790906,0.03333333333333333,0.932156735540504
N_kg_ha_lag1,0.08516283519384125,0.8275528517400991,0.13333333333333333,0.7323675052362975,0.040094721808908794,0.9184290477755399,0.18333333333333335,0.6368198117628943
Org_kg_ha_or_share_lag1,0.21839525034106994,0.5723953725951005,0.049999999999999996,0.8983528043506301,0.2303892039448781,0.5509226194302601,0.09999999999999999,0.797971695234851
P2O5_kg_ha_lag1,0.30885298515950366,0.41870299482908396,0.26666666666666666,0.4879222748387009,0.24104463875996768,0.5321067012530076,0.26666666666666666,0.4879222748387009
