crop,selection_window,evaluation_window,base_model,base_validation_mae,base_mae,base_rmse,base_mape,climate_model,climate_validation_mae,climate_mae,climate_rmse,climate_mape,delta_mae,window,analysis_role
Пшениця,2022_2024,2022_2024,elasticnet,0.3694206778866585,0.5392379021371628,0.7111258640438622,11.21744336724174,lightgbm,0.30935859378108904,0.7935951411644581,1.0198750206101483,16.48690119173022,0.25435723902729523,2022_2024,post_hoc_descriptive_test_comparison
Кукурудза,2022_2024,2022_2024,lightgbm,0.4292065832421497,0.6919988398727179,0.8076495913734452,10.712269494784644,elasticnet,0.61111829431435,0.5151582035815269,0.5758170561203569,7.144109809138464,-0.17684063629119107,2022_2024,post_hoc_descriptive_test_comparison
Соняшник,2022_2024,2022_2024,lightgbm,0.40190635565428706,0.04133337195435294,0.0462405304240962,1.6143304385994763,elasticnet,0.18570033670033684,0.1250671550671553,0.16083681535294345,4.652901044788378,0.08373378311280236,2022_2024,post_hoc_descriptive_test_comparison
