factor,pearson_yield,pearson_yield_p,spearman_yield,spearman_yield_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p
Area_ha_lag1,-0.04560424318797727,0.9072566623721912,-0.19999999999999998,0.6059012741795533,0.12846470144948752,0.741866335809368,-0.03333333333333333,0.932156735540504
Irrig_mm_lag1,0.02061775074718302,0.9580127391988332,-0.08333333333333334,0.831214097710308,-0.23781433506974264,0.5377844465519593,-0.33333333333333337,0.38071318167686347
K_kg_ha_lag1,-0.30370849228663643,0.4268955908397221,-0.16666666666666669,0.668231040071504,-0.12651196908517626,0.7456847298224086,-0.049999999999999996,0.8983528043506301
Mineral_treated_share_lag1,-0.6325801309201559,0.06751253513481473,-0.7666666666666667,0.01594401657897401,-0.39001414014099633,0.2994166197137027,-0.6,0.0876228290414024
N_kg_ha_lag1,-0.255679078612795,0.5066815889587631,-0.26666666666666666,0.4879222748387009,-0.2993123815443162,0.4339525291323439,-0.38333333333333336,0.30849527238037144
Org_kg_ha_or_share_lag1,-0.11155828583494701,0.7750791175910675,-0.08333333333333334,0.831214097710308,0.20379183583880867,0.598939908854329,0.049999999999999996,0.8983528043506301
P2O5_kg_ha_lag1,-0.18337262963900958,0.6367463174811347,-0.16666666666666669,0.668231040071504,0.0040251349607705435,0.9918001731021273,-0.11666666666666665,0.7650079429261462
