year,crop,model,scenario,split,mae,rmse,mape,n_features
2019,Пшениця,elasticnet,lag_only,validation,0.8832956853397222,0.8832956853397222,18.401993444577545,15
2020,Пшениця,elasticnet,lag_only,validation,0.027497372513577645,0.027497372513577645,0.6137806364637868,16
2021,Пшениця,elasticnet,lag_only,validation,0.2498855104436455,0.2498855104436455,5.173613052663468,17
2022,Пшениця,elasticnet,lag_only,test,0.5141243357596066,0.5141243357596066,12.448531132193864,17
2023,Пшениця,elasticnet,lag_only,test,1.110231178782628,1.110231178782628,21.812007441701926,17
2024,Пшениця,elasticnet,lag_only,test,0.0418320750403689,0.0418320750403689,0.8806752640077664,17
2019,Пшениця,xgboost,lag_only,validation,0.5982296943664549,0.5982296943664549,12.463118632634478,15
2020,Пшениця,xgboost,lag_only,validation,0.10075710296630813,0.10075710296630813,2.2490424769265207,16
2021,Пшениця,xgboost,lag_only,validation,0.4907103347778321,0.4907103347778321,10.159634260410602,17
2022,Пшениця,xgboost,lag_only,test,0.41344558715820323,0.41344558715820323,10.010789035307585,17
2023,Пшениця,xgboost,lag_only,test,0.7156117820739745,0.7156117820739745,14.059170571197926,17
2024,Пшениця,xgboost,lag_only,test,1.05226469039917,1.05226469039917,22.15294085050884,17
2019,Пшениця,lightgbm,lag_only,validation,0.7560090487854758,0.7560090487854758,15.75018851636408,15
2020,Пшениця,lightgbm,lag_only,validation,0.1941286675717846,0.1941286675717846,4.333229186870192,16
2021,Пшениця,lightgbm,lag_only,validation,0.27435052605589316,0.27435052605589316,5.680135115028844,17
2022,Пшениця,lightgbm,lag_only,test,0.32348810295911434,0.32348810295911434,7.832641718138363,17
2023,Пшениця,lightgbm,lag_only,test,0.5731086095445272,0.5731086095445272,11.259501169833541,17
2024,Пшениця,lightgbm,lag_only,test,0.1627424610569257,0.1627424610569257,3.4261570748826466,17
2019,Пшениця,elasticnet,in_season,validation,1.1819779029137112,1.1819779029137112,24.62453964403565,23
2020,Пшениця,elasticnet,in_season,validation,0.027741675533352605,0.027741675533352605,0.6192338288694779,24
2021,Пшениця,elasticnet,in_season,validation,0.12347515212153404,0.12347515212153404,2.55642136897586,25
2022,Пшениця,elasticnet,in_season,test,0.27533713167486873,0.27533713167486873,6.666758636195369,25
2023,Пшениця,elasticnet,in_season,test,1.680753649513134,1.680753649513134,33.02070038336216,25
2024,Пшениця,elasticnet,in_season,test,0.18956331940507898,0.18956331940507898,3.990806724317452,25
2019,Пшениця,xgboost,in_season,validation,0.7322371482849119,0.7322371482849119,15.254940589269001,23
2020,Пшениця,xgboost,in_season,validation,0.2950277137756343,0.2950277137756343,6.585440039634695,24
2021,Пшениця,xgboost,in_season,validation,0.29120786666870124,0.29120786666870124,6.02914837823398,25
2022,Пшениця,xgboost,in_season,test,0.47074567794799815,0.47074567794799815,11.398200434576227,25
2023,Пшениця,xgboost,in_season,test,2.073628749847412,2.073628749847412,40.73926816989022,25
2024,Пшениця,xgboost,in_season,test,1.1519384384155273,1.1519384384155273,24.25133554559005,25
2019,Пшениця,lightgbm,in_season,validation,0.6918670017111097,0.6918670017111097,14.413895868981452,23
2020,Пшениця,lightgbm,in_season,validation,0.017666410695500012,0.017666410695500012,0.39433952445312537,24
2021,Пшениця,lightgbm,in_season,validation,0.30390423418560975,0.30390423418560975,6.292013130136848,25
2022,Пшениця,lightgbm,in_season,test,0.6729593601605872,0.6729593601605872,16.29441550025635,25
2023,Пшениця,lightgbm,in_season,test,1.521716383882076,1.521716383882076,29.896196146995603,25
2024,Пшениця,lightgbm,in_season,test,0.21741865281537187,0.21741865281537187,4.577234796113093,25
2019,Кукурудза,elasticnet,lag_only,validation,1.4478547611665826,1.4478547611665826,20.742904887773392,15
2020,Кукурудза,elasticnet,lag_only,validation,1.7425950040765779,1.7425950040765779,31.799178906506896,16
2021,Кукурудза,elasticnet,lag_only,validation,0.877082022243056,0.877082022243056,12.917261005052369,17
2022,Кукурудза,elasticnet,lag_only,test,0.5084119548550099,0.5084119548550099,7.022264569820578,17
2023,Кукурудза,elasticnet,lag_only,test,0.9787495402625161,0.9787495402625161,12.56417895073833,17
2024,Кукурудза,elasticnet,lag_only,test,4.066878825965845,4.066878825965845,71.22379730237908,17
2019,Кукурудза,xgboost,lag_only,validation,0.6295270729064937,0.6295270729064937,9.019012505823692,15
2020,Кукурудза,xgboost,lag_only,validation,1.7997060012817387,1.7997060012817387,32.84135038835289,16
2021,Кукурудза,xgboost,lag_only,validation,0.32962556838989165,0.32962556838989165,4.854573908540377,17
2022,Кукурудза,xgboost,lag_only,test,0.2950827980041506,0.2950827980041506,4.075729254200975,17
2023,Кукурудза,xgboost,lag_only,test,0.6911521339416513,0.6911521339416513,8.87229953712004,17
2024,Кукурудза,xgboost,lag_only,test,1.3018579864501953,1.3018579864501953,22.79961447373372,17
2019,Кукурудза,lightgbm,lag_only,validation,0.48480931499763713,0.48480931499763713,6.945692191943226,15
2020,Кукурудза,lightgbm,lag_only,validation,1.7750031849701946,1.7750031849701946,32.390569068799174,16
2021,Кукурудза,lightgbm,lag_only,validation,1.0088524313895677,1.0088524313895677,14.857915042556225,17
2022,Кукурудза,lightgbm,lag_only,test,1.3709088050150795,1.3709088050150795,18.935204489158554,17
2023,Кукурудза,lightgbm,lag_only,test,0.5814213522398273,0.5814213522398273,7.463688732218578,17
2024,Кукурудза,lightgbm,lag_only,test,1.7346494027452612,1.7346494027452612,30.379148909724364,17
2019,Кукурудза,elasticnet,in_season,validation,1.514524226755996,1.514524226755996,21.69805482458447,23
2020,Кукурудза,elasticnet,in_season,validation,2.467221027827427,2.467221027827427,45.02228152969758,24
2021,Кукурудза,elasticnet,in_season,validation,1.4767701226505032,1.4767701226505032,21.74919179161271,25
2022,Кукурудза,elasticnet,in_season,test,0.1182009085716702,0.1182009085716702,1.6326092344153342,25
2023,Кукурудза,elasticnet,in_season,test,1.4295683714538487,1.4295683714538487,18.351326976301007,25
2024,Кукурудза,elasticnet,in_season,test,2.817679514712032,2.817679514712032,49.3464013084419,25
2019,Кукурудза,xgboost,in_season,validation,0.6387162399291997,0.6387162399291997,9.15066246316905,23
2020,Кукурудза,xgboost,in_season,validation,1.4769444656372075,1.4769444656372075,26.951541343744665,24
2021,Кукурудза,xgboost,in_season,validation,0.352237262725831,0.352237262725831,5.187588552663195,25
2022,Кукурудза,xgboost,in_season,test,0.8083922767639162,0.8083922767639162,11.165639181822048,25
2023,Кукурудза,xgboost,in_season,test,1.1267676734924326,1.1267676734924326,14.464283356770636,25
2024,Кукурудза,xgboost,in_season,test,2.231804885864258,2.231804885864258,39.08589992757019,25
2019,Кукурудза,lightgbm,in_season,validation,0.38352650361304264,0.38352650361304264,5.494649048897459,23
2020,Кукурудза,lightgbm,in_season,validation,1.0428307983949594,1.0428307983949594,19.029759094798532,24
2021,Кукурудза,lightgbm,in_season,validation,1.2876219685053476,1.2876219685053476,18.963504690800402,25
2022,Кукурудза,lightgbm,in_season,test,1.5089633091359618,1.5089633091359618,20.842034656574057,25
2023,Кукурудза,lightgbm,in_season,test,2.679161188021327,2.679161188021327,34.39231306830972,25
2024,Кукурудза,lightgbm,in_season,test,1.5883308251503099,1.5883308251503099,27.81665192907723,25
2019,Соняшник,elasticnet,lag_only,validation,0.3286352546069504,0.3286352546069504,10.846048006830046,15
2020,Соняшник,elasticnet,lag_only,validation,0.3183786173473546,0.3183786173473546,12.534591234147818,16
2021,Соняшник,elasticnet,lag_only,validation,0.16069869141835857,0.16069869141835857,6.2528673703641475,17
2022,Соняшник,elasticnet,lag_only,test,0.0730458622637431,0.0730458622637431,2.5994968777132774,17
2023,Соняшник,elasticnet,lag_only,test,0.0472150164175793,0.0472150164175793,1.8371601718902453,17
2024,Соняшник,elasticnet,lag_only,test,0.12461113513347444,0.12461113513347444,5.065493298108717,17
2019,Соняшник,xgboost,lag_only,validation,0.4825511264801028,0.4825511264801028,15.925779751818572,15
2020,Соняшник,xgboost,lag_only,validation,0.2357337093353271,0.2357337093353271,9.280854698241225,16
2021,Соняшник,xgboost,lag_only,validation,0.2598213481903078,0.2598213481903078,10.109780085225985,17
2022,Соняшник,xgboost,lag_only,test,0.021887483596801705,0.021887483596801705,0.7789140070036193,17
2023,Соняшник,xgboost,lag_only,test,0.23585050582885758,0.23585050582885758,9.177062483613135,17
2024,Соняшник,xgboost,lag_only,test,0.0649884128570557,0.0649884128570557,2.641805400693321,17
2019,Соняшник,lightgbm,lag_only,validation,0.6546398463625844,0.6546398463625844,21.605275457511038,15
2020,Соняшник,lightgbm,lag_only,validation,0.48840616879026033,0.48840616879026033,19.228589322451196,16
2021,Соняшник,lightgbm,lag_only,validation,0.29001354974906723,0.29001354974906723,11.284573920197168,17
