year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape
2020,Соняшник,naive_lag1,lag_only,validation,2.54,3.0300000000000002,0.4900000000000002,0.4900000000000002,19.291338582677174
2020,Соняшник,forecast_linear,trend,validation,2.54,2.9893333333333203,0.44933333333332026,0.44933333333332026,17.690288713910245
2021,Соняшник,naive_lag1,lag_only,validation,2.57,2.54,0.029999999999999805,0.029999999999999805,1.1673151750972686
2021,Соняшник,forecast_linear,trend,validation,2.57,2.904545454545456,0.33454545454545626,0.33454545454545626,13.017332861690905
2021,Соняшник,linest_lag_only,lag_only,validation,2.57,7.281932452285197,4.711932452285197,4.711932452285197,183.34367518619445
2022,Соняшник,naive_lag1,lag_only,test,2.81,2.57,0.2400000000000002,0.2400000000000002,8.540925266903923
2022,Соняшник,forecast_linear,trend,test,2.81,2.8512121212121286,0.04121212121212858,0.04121212121212858,1.4666235306807325
2022,Соняшник,linest_lag_only,lag_only,test,2.81,2.596209725361796,0.2137902746382041,0.2137902746382041,7.608194826982352
2023,Соняшник,naive_lag1,lag_only,test,2.57,2.81,0.2400000000000002,0.2400000000000002,9.338521400778218
2023,Соняшник,forecast_linear,trend,test,2.57,2.88384615384615,0.31384615384615033,0.31384615384615033,12.211912601017524
2023,Соняшник,linest_lag_only,lag_only,test,2.57,3.586006695286091,1.0160066952860913,1.0160066952860913,39.53333444692962
2024,Соняшник,naive_lag1,lag_only,test,2.46,2.57,0.10999999999999988,0.10999999999999988,4.471544715447149
2024,Соняшник,forecast_linear,trend,test,2.46,2.8381318681318675,0.3781318681318675,0.3781318681318675,15.371214151701931
2024,Соняшник,linest_lag_only,lag_only,test,2.46,1.7449351819504548,0.7150648180495451,0.7150648180495451,29.067675530469316
