factor,pearson_yield,pearson_yield_p,spearman_yield,spearman_yield_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p
Area_ha_lag1,-0.17479007457919304,0.6528620565978028,-0.12552411131335847,0.747618228942804,-0.30392991794227847,0.4265415066233722,-0.09999999999999999,0.797971695234851
Irrig_mm_lag1,0.3218077582344397,0.39839166241040364,0.17573375583870182,0.6510838503222888,0.1746440433300079,0.6531373629670268,0.21666666666666667,0.5755148957119259
K_kg_ha_lag1,0.4327318936379413,0.24468148628872072,0.4915966386554622,0.17892688085506633,0.23070928648015973,0.5503537774463809,0.35983578576496095,0.3415091184940342
Mineral_treated_share_lag1,0.40343709632131447,0.2815955108248331,0.2677847708018314,0.4860296141888535,0.3657004818316032,0.333113121099654,0.19999999999999998,0.6059012741795533
N_kg_ha_lag1,0.41618081684870645,0.2652008825769319,0.34309923758984645,0.36602924302380385,0.21098807874981657,0.585805833463927,0.19999999999999998,0.6059012741795533
Org_kg_ha_or_share_lag1,0.04209326231086152,0.9143748246650056,0.21757512627648798,0.5738746583219767,0.07186548355640887,0.8542254762112808,0.21666666666666667,0.5755148957119259
P2O5_kg_ha_lag1,0.5742686742911247,0.10584504769904689,0.596638655462185,0.08988437500408956,0.43169526529538604,0.2459408034291382,0.48535989707831934,0.18535381786420974
